Date,Question Title,Question Description,Difficulty,Topic/Category,Status,Discord Message ID,Question ID,url
12/25/25 09:00 AM,Contains Duplicate,"Given an integer array nums, return true if any value appears at least twice in the array, and return false if every element is distinct.",Easy,Arrays & Hashing,Pending,,217,https://leetcode.com/problems/contains-duplicate/
12/26/25 09:00 AM,Valid Anagram,"Given two strings s and t, return true if t is an anagram of s, and false otherwise.",Easy,Arrays & Hashing,Pending,,242,https://leetcode.com/problems/valid-anagram/
12/27/25 09:00 AM,Two Sum,"Given an array of integers nums and an integer target, return the indices of the two numbers that add up to target.",Easy,Arrays & Hashing,Pending,,1,https://leetcode.com/problems/two-sum/
12/28/25 09:00 AM,Group Anagrams,"Given an array of strings strs, group the anagrams together. You can return the answer in any order.",Medium,Arrays & Hashing,Pending,,49,https://leetcode.com/problems/group-anagrams/
12/29/25 09:00 AM,Top K Frequent Elements,"Given an integer array nums and an integer k, return the k most frequent elements.",Medium,Arrays & Hashing,Pending,,347,https://leetcode.com/problems/top-k-frequent-elements/
12/30/25 09:00 AM,Encode and Decode Strings,Design an algorithm to encode a list of strings to a string and decode the encoded string back to the list of strings.,Medium,Arrays & Hashing,Pending,,271,https://leetcode.com/problems/encode-and-decode-strings/
12/31/25 09:00 AM,Product of Array Except Self,"Given an integer array nums, return an array answer such that answer[i] is equal to the product of all elements except nums[i].",Medium,Arrays & Hashing,Pending,,238,https://leetcode.com/problems/product-of-array-except-self/
01/01/26 09:00 AM,Longest Consecutive Sequence,"Given an unsorted array of integers nums, return the length of the longest consecutive sequence.",Medium,Arrays & Hashing,Pending,,128,https://leetcode.com/problems/longest-consecutive-sequence/
01/02/26 09:00 AM,Valid Palindrome,A phrase is a palindrome if it reads the same forward and backward after converting to lowercase and removing non-alphanumeric characters.,Easy,Two Pointers,Pending,,125,https://leetcode.com/problems/valid-palindrome/
01/03/26 09:00 AM,Two Sum II - Input Array Is Sorted,"Given a 1-indexed array of integers numbers and an integer target, find two numbers that add up to the target.",Easy,Two Pointers,Pending,,167,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/
01/04/26 09:00 AM,3Sum,"Given an integer array nums, return all the triplets that sum to 0.",Easy,Two Pointers,Pending,,15,https://leetcode.com/problems/3sum/
01/05/26 09:00 AM,Container With Most Water,"Given an integer array height of length n, find two lines that together with the x-axis form a container.",Medium,Two Pointers,Pending,,11,https://leetcode.com/problems/container-with-most-water/
01/06/26 09:00 AM,Valid Parentheses,"Given a string s containing parentheses, determine if the input string is valid.",Easy,Stack,Pending,,20,https://leetcode.com/problems/valid-parentheses/
01/07/26 09:00 AM,Min Stack,"Design a stack that supports push, pop, top, and retrieving the minimum element in constant time.",Easy,Stack,Pending,,155,https://leetcode.com/problems/min-stack/
01/08/26 09:00 AM,Daily Temperatures,"Given an array of temperatures, return an array answer where each element is the number of days you have to wait until a warmer temperature.",Medium,Stack,Pending,,739,https://leetcode.com/problems/daily-temperatures/
01/09/26 09:00 AM,Car Fleet,"At a car meeting with n cars, return the number of car fleets that will arrive at the destination.",Medium,Stack,Pending,,853,https://leetcode.com/problems/car-fleet/
01/10/26 09:00 AM,Same Tree,"Given the roots of two binary trees, check if they are the same or not.",Easy,Trees,Pending,,100,https://leetcode.com/problems/same-tree/
